Population,Total Population,Females,Males,Married Females,Married Males,Girls,Boys
787,1254,412,375,24,37,118,88
808,1278,421,387,26,39,124,95
818,1295,430,388,26,36,129,92
822,1306,434,388,30,37,127,88
831,1319,443,388,31,35,130,87
837,1330,447,390,35,42,130,89
841,1345,450,391,41,47,126,92
841,1356,455,386,41,50,124,92
848,1367,463,385,43,51,126,91
854,1380,464,390,42,47,117,95
865,1397,471,394,48,45,121,94
878,1414,475,403,54,44,123,95
884,1427,478,406,55,41,124,97
899,1445,489,410,62,38,130,101
908,1458,490,418,65,45,128,104
920,1473,498,422,65,49,130,110
924,1482,501,423,63,47,127,108
932,1499,503,429,63,45,131,114
940,1513,507,433,65,47,127,108
957,1537,516,441,62,39,127,115
971,1554,526,445,68,43,134,114
975,1570,528,447,65,39,134,117
991,1591,536,455,69,47,139,122
1008,1612,547,461,79,48,144,123
1007,1621,544,463,78,48,139,126
1015,1634,551,464,80,45,137,130
1020,1648,554,466,83,47,140,128
1023,1659,556,467,85,48,140,122
1034,1681,562,472,91,49,144,123
1044,1693,567,477,92,43,143,123
1043,1702,569,474,90,44,138,119
1054,1719,572,482,93,46,141,120
1054,1732,569,485,96,52,141,118
1058,1745,571,487,95,52,144,119
1069,1762,578,491,100,53,145,118
1082,1781,583,499,96,54,147,121
1099,1808,592,507,102,59,147,124
1109,1825,597,512,100,56,146,125
1122,1846,602,520,101,58,146,130
1133,1864,608,525,101,60,144,129
1139,1879,610,529,110,67,137,130
1155,1898,618,537,115,65,144,133
1171,1920,622,549,117,65,145,141
1183,1940,629,554,123,70,148,144
1197,1962,638,559,123,65,153,150
1207,1981,644,563,114,59,151,149
1212,1993,646,566,114,58,152,148
1224,2013,651,573,117,59,156,155
1243,2039,662,581,120,55,163,157
1252,2058,670,582,126,61,166,160
1254,2071,672,582,117,54,164,162
1266,2091,676,590,117,51,165,164
1277,2108,679,598,117,54,164,163
1288,2134,678,610,117,51,162,164
1303,2159,683,620,121,52,163,171
1309,2175,685,624,125,55,162,167
1319,2196,689,630,123,56,163,169
1321,2207,692,629,128,62,163,165
1326,2226,694,632,131,60,161,167
1348,2252,707,641,134,66,166,166
1349,2265,709,640,132,64,163,162
1361,2289,713,648,131,66,159,168
1370,2309,715,655,137,71,159,169
1384,2334,721,663,140,80,163,178
1399,2360,729,670,147,85,167,180
1410,2385,733,677,147,79,163,183
1423,2409,742,681,141,74,167,184
1436,2429,745,691,136,69,169,189
1449,2452,747,702,137,70,169,192
1457,2470,754,703,143,74,174,188
1477,2499,766,711,146,73,180,185
1485,2522,766,719,139,67,175,188
1494,2548,768,726,138,66,180,193
1508,2574,774,734,137,68,180,198
1515,2593,779,736,135,70,183,203
1529,2617,785,744,142,78,186,205
1535,2639,784,751,136,72,180,207
1556,2673,799,757,139,76,193,215
1581,2707,816,765,139,75,204,214
1597,2731,824,773,140,79,209,213
1612,2759,831,781,144,83,214,211
1634,2791,843,791,141,77,219,212
1651,2821,849,802,140,80,224,212
1674,2855,857,817,141,83,225,221
1679,2877,858,821,131,78,226,222
1695,2905,861,834,138,83,227,226
1715,2936,875,840,136,86,235,231
1724,2958,874,850,146,90,226,233
1748,2994,886,862,149,97,237,235
1762,3018,889,873,149,100,232,238
1774,3042,895,879,148,93,234,234
1793,3078,901,892,155,95,240,245
1819,3118,910,909,145,94,245,256
1832,3143,911,921,145,94,246,258
1851,3177,921,930,142,97,247,257
1865,3201,930,935,143,99,236,258
1876,3225,939,937,145,103,238,256
1893,3255,949,944,141,107,241,255
1898,3277,950,948,149,107,231,255
1920,3310,962,958,161,111,233,256
1933,3338,971,962,162,108,234,249
1955,3370,978,977,164,108,241,252
1969,3400,979,990,168,106,243,252
1981,3432,983,998,170,108,240,256
1997,3462,992,1005,173,113,247,257
2015,3496,1005,1010,165,109,246,256
2028,3524,1019,1009,160,110,258,248
2047,3557,1025,1022,172,113,259,256
2069,3591,1033,1036,171,118,261,252
2073,3614,1041,1032,176,123,262,234
2092,3646,1053,1039,173,128,272,231
2103,3677,1061,1042,168,123,269,231
2119,3705,1066,1053,167,128,272,232
2141,3744,1075,1066,168,137,275,244
2164,3783,1094,1070,161,139,281,247
2193,3826,1107,1086,165,133,293,256
2209,3856,1116,1093,158,130,295,251
2236,3897,1133,1103,163,127,303,256
2256,3934,1141,1115,168,126,306,258
2274,3973,1154,1120,165,127,320,253
2294,4010,1164,1130,169,130,320,258
2313,4047,1175,1138,174,129,323,262
2347,4096,1191,1156,177,132,331,269
2376,4142,1204,1172,177,136,333,285
2397,4180,1219,1178,180,137,342,281
2426,4225,1232,1194,185,142,348,286
2452,4268,1245,1207,190,147,354,300
2467,4306,1252,1215,190,135,355,305
2484,4349,1259,1225,188,140,357,315
2510,4390,1273,1237,192,144,363,322
2526,4428,1276,1250,197,138,360,324
2539,4462,1281,1258,193,130,351,328
2569,4509,1300,1269,190,120,356,327
2589,4541,1315,1274,197,129,355,330
2613,4582,1327,1286,196,129,352,333
2637,4628,1337,1300,208,132,355,339
2670,4679,1355,1315,218,143,353,353
2691,4720,1363,1328,224,141,355,355
2715,4763,1377,1338,235,143,361,355
2742,4802,1392,1350,242,149,357,349
